timestamp,rating,response_time,sources,question
2025-02-17T09:36:14.425Z,1,18.617048025131226,wiki,What is Bisq 2?
2025-02-17T09:36:44.980Z,1,10.49117398262024,wiki,What is Bisq Easy?
2025-02-17T19:35:41.891Z,0,25.5452618598938,"wiki,wiki,wiki",What is Bisq 2?
2025-02-17T19:45:03.730Z,1,10.136600255966187,wiki,What is Bisq 2?
2025-02-17T19:47:46.823Z,0,17.2207670211792,,My counterparty is not responding anymore. What should I do?
2025-02-17T19:56:37.800Z,1,10.904054164886475,wiki,How does the reputation system work in Bisq 2?
2025-02-17T20:18:32.177Z,1,11.809100866317749,wiki,What is Bisq Easy and how does it work?
2025-02-17T20:19:10.740Z,1,7.409519195556641,,My counterparty is not responding anymore. What should I do?
2025-02-17T20:19:36.452Z,1,8.666564226150513,wiki,What are the main differences between Bisq 1 and Bisq 2?
2025-02-18T08:42:15.704Z,1,8.963109970092773,wiki,What is Bisq 2?
2025-02-18T08:43:12.734Z,1,15.022736310958862,wiki,If I want to buy Bitcoin for €1000 is Bisq 1 or Bisq 2 the better option?
2025-02-18T08:55:46.764Z,1,12.53852391242981,wiki,What is Bisq Easy and how does it work?
2025-02-18T09:04:08.673Z,1,11.300725936889648,wiki,How can I safely buy bitcoin on Bisq 2?
2025-02-18T09:07:21.638Z,1,11.300725936889648,wiki,How can I safely buy bitcoin on Bisq 2?
2025-02-18T09:08:02.645Z,1,11.300725936889648,wiki,How can I safely buy bitcoin on Bisq 2?
