Date,Channel,Author,Message,Message ID,Was Edited,Referenced Message ID,Referenced Message Author,Referenced Message Text
2025-02-03 15:45:31,support,8440e330be71c499968712646abd6206f32e8fce,"hi community, can I please ask for Mediator's help for the trade where I've reqeusted a Mediator, he joined, but didn't ask anything and seems didn't take any action?
Seller got my fiat payment, went offline for 7 days ago without sending BTC to me.",55d22330-9c68-4a53-9470-ee02f955746f,True,,,
2025-02-03 18:56:22,support,13f3c162bb13b84c6b8b40527ec1ea089b9337cd,"This is not reflecting on the security feature. You can lock up BSQ by bonds and get it 100% refunded at unlock, thus no fee paid if you don't count the illiquidity costs as fee). Also Bisq 1 account age witness and account age give you some reputation, though not that much of course, as it also does not represent that much of ""skin in the game"". Burning BSQ is the only option for reputation where Bisq benefits as an idirect fee payment.",199c8642-fd34-4ef0-8f53-d131f3f9878b,False,06a17c8d0ae6add7e95a0661be8940a3394d7a2f,06a17c8d0ae6add7e95a0661be8940a3394d7a2f,Burning BSQ for sellers to acquire rep on Bisq Easy isn't unlike a licensing fee paid by a franchisee to use a franchisor's brand or a house fee paid by a stripper to the club for the opportunity to dance. It's just a very standard way of doing business and isn't related to the decentralized nature of Bisq.
2025-02-03 19:00:28,support,43de7ff4ba67de90656f36c4c8e826c8cbda7575,who is the seller? And what is his reputation score?,27605f28-d685-451d-bb8d-feff038d5897,False,8440e330be71c499968712646abd6206f32e8fce,8440e330be71c499968712646abd6206f32e8fce,"hi community, can I please ask for Mediator's help for the trade where I've reqeusted a Mediator, he joined, but didn't ask anything and seems didn't take any action?
Seller got my fiat payment, went offline for 7 days ago without sending BTC to me."
2025-02-03 20:59:28,support,8440e330be71c499968712646abd6206f32e8fce,"seller was 'translucent', reputation was non-existent, just like mine.",b3f4a386-23f2-4e75-b8e0-5c8c86c5660f,False,43de7ff4ba67de90656f36c4c8e826c8cbda7575,43de7ff4ba67de90656f36c4c8e826c8cbda7575,who is the seller? And what is his reputation score?
2025-02-03 21:02:56,support,43de7ff4ba67de90656f36c4c8e826c8cbda7575,"oh okay, so you chose to take the risk and send money to him anyway. Is it you who said the trade amount was for 200$?",1b529052-2d88-4660-b22d-724fac4e0277,False,8440e330be71c499968712646abd6206f32e8fce,8440e330be71c499968712646abd6206f32e8fce,"seller was 'translucent', reputation was non-existent, just like mine."
2025-02-03 21:14:42,support,8440e330be71c499968712646abd6206f32e8fce,"no, not me. our trade was 100 Eur",504cafac-b46b-42a1-ad24-0a5e01ade8bc,False,,,
2025-02-03 21:19:04,support,43de7ff4ba67de90656f36c4c8e826c8cbda7575,"still above the relaxed trade limits of 25$. You must have seen the big fat warning and clicked it away, I'm sorry you underestimated the risk",0e911b6a-f8a2-4d01-a13c-740ccb378acf,False,8440e330be71c499968712646abd6206f32e8fce,8440e330be71c499968712646abd6206f32e8fce,"no, not me. our trade was 100 Eur"
2025-02-03 21:19:33,support,43de7ff4ba67de90656f36c4c8e826c8cbda7575,from next release every offer will be enforced to be paired with a high enough reputation score,28379082-ac0e-4b8e-bdcd-8d1cae2124c6,False,,,
2025-02-03 21:32:05,support,108e545dad64bfc4996cdb00e6f5cc28eb4b44a8,@luis3672 ...,e234c241-cb83-453e-a45f-06e9b0d3938a,False,,,
2025-02-03 21:45:54,support,45d7cd90edcad64392b73da5bbc91b4a5b17631a,question - can I leave feedback for someone I've completed a trade with?,aa1370b8-74c3-4120-8d4e-248e2219fbd3,False,,,
